COUNTRY;Confirm cases;CODE
Afghanistan;37953;AFG
Albania;8275;ALB
Algeria;41068;DZA
Andorra;1045;AND
Angola;2134;AGO
Antigua and Barbuda;94;ATG
Argentina;336802;ARG
Armenia;42616;ARM
Australia;24811;AUS
Austria;25062;AUT
Azerbaijan;35105;AZE
Bahrain;49038;BHR
Bangladesh;292625;BGD
Barbados;158;BRB
Belarus;70285;BLR
Belgium;81468;BEL
Belize;668;BLZ
Benin;2115;BEN
Bhutan;155;BTN
Bolivia;108427;BOL
Bosnia and Herzegovina;17715;BIH
Botswana;1308;BWA
Brazil;3582362;BRA
Brunei;143;BRN
Bulgaria;15131;BGR
Burkina Faso;1297;BFA
Burma;441;MMR
Burundi;429;BDI
Cabo Verde;3455;CPV
Cambodia;273;KHM
Cameroon;18762;CMR
Canada;126560;CAN
Central African Republic;4679;CAF
Chad;982;TCD
Chile;395708;CHL
China;89654;CHN
Colombia;522138;COL
Comoros;417;COM
Costa Rica;33084;CRI
Cote d'Ivoire;17374;CIV
Croatia;7900;HRV
Cuba;3617;CUB
Cyprus;1417;CYP
Denmark;16637;DNK
Djibouti;5382;DJI
Dominica;19;DMA
Dominican Republic;90561;DOM
Ecuador;107089;ECU
Egypt;97237;EGY
El Salvador;24420;SLV
Equatorial Guinea;4926;GNQ
Eritrea;306;ERI
Estonia;2265;EST
Ethiopia;39033;ETH
Fiji;28;FJI
Finland;7906;FIN
France;275562;FRA
Gabon;8388;GAB
Georgia;1394;GEO
Germany;233861;DEU
Ghana;43325;GHA
Greece;8381;GRC
Grenada;24;GRD
Guatemala;67856;GTM
Guinea;8932;GIN
Guinea-Bissau;2149;GNB
Guyana;925;GUY
Haiti;8050;HTI
Honduras;53983;HND
Hungary;5133;HUN
Iceland;2058;ISL
India;3044940;IND
Indonesia;151498;IDN
Iran;356792;IRN
Iraq;201050;IRQ
Ireland;27908;IRL
Israel;101933;ISR
Italy;258136;ITA
Jamaica;1346;JAM
Japan;61916;JPN
Jordan;1576;JOR
Kazakhstan;104543;KAZ
Kenya;32118;KEN
Korea, South;17399;KOR
Kosovo;12168;KSV
Kuwait;79957;KWT
Kyrgyzstan;42889;KGZ
Laos;22;LAO
Latvia;1333;LVA
Lebanon;12191;LBN
Lesotho;1015;LSO
Liberia;1286;LBR
Libya;10437;LBY
Liechtenstein;99;LIE
Lithuania;2594;LTU
Luxembourg;7762;LUX
Madagascar;14277;MDG
Malawi;5382;MWI
Malaysia;9257;MYS
Maldives;6660;MDV
Mali;2699;MLI
Malta;1577;MLT
Mauritania;6894;MRT
Mauritius;346;MUS
Mexico;556216;MEX
Moldova;33072;MDA
Monaco;154;MCO
Mongolia;298;MNG
Montenegro;4313;MNE
Morocco;50812;MAR
Mozambique;3304;MOZ
Namibia;5538;NAM
Nepal;31117;NPL
Netherlands;68051;NLD
New Zealand;1674;NZL
Nicaragua;4311;NIC
Niger;1172;NER
Nigeria;51905;NGA
Norway;10299;NOR
Oman;83769;OMN
Pakistan;292174;PAK
Panama;85480;PAN
Papua New Guinea;361;PNG
Paraguay;12974;PRY
Peru;576067;PER
Philippines;187249;PHL
Poland;61181;POL
Portugal;55452;PRT
Qatar;116765;QAT
Romania;77544;ROU
Russia;949531;RUS
Rwanda;2889;RWA
Saint Kitts and Nevis;17;KNA
Saint Lucia;26;LCA
Saint Vincent and the Grenadines;58;VCT
San Marino;704;SMR
Sao Tome and Principe;892;STP
Saudi Arabia;306370;SAU
Senegal;12850;SEN
Serbia;30548;SRB
Seychelles;132;SYC
Sierra Leone;1980;SLE
Singapore;56266;SGP
Slovakia;3316;SVK
Slovenia;2617;SVN
Somalia;3269;SOM
South Africa;607045;ZAF
South Sudan;2497;SSD
Spain;386054;ESP
Sri Lanka;2947;LKA
Sudan;12682;SDN
Suriname;3569;SUR
Sweden;86068;SWE
Switzerland;39627;CHE
Syria;2143;SYR
Tajikistan;8277;TJK
Tanzania;509;TZA
Thailand;3390;THA
Timor-Leste;26;TLS
Togo;1275;TGO
Trinidad and Tobago;930;TTO
Tunisia;2738;TUN
Turkey;257032;TUR
Uganda;2166;UGA
Ukraine;105337;UKR
United Arab Emirates;66617;ARE
United Kingdom;326595;GBR
Uruguay;1521;URY
Uzbekistan;38532;UZB
Venezuela;38957;VEN
Vietnam;1014;VNM
Yemen;1907;YEM
Zambia;10831;ZMB
Zimbabwe;5893;ZWE
